Movie,Release Year,Duration(Hrs),Certificate,Genres,Rating,Votes
Full Metal Jacket,1987,1.93,UA,"Drama, War",8.2,798248
Le fabuleux destin d'Amélie Poulain,2001,2.03,U,"Comedy, Romance",8.3,800233
Heat,1995,2.83,A,"Action, Crime, Drama",8.3,728074
Up,2009,1.6,U,"Animation, Adventure, Comedy",8.3,1139403
A Clockwork Orange,1971,2.27,A,"Crime, Sci-Fi",8.3,888873
To Kill a Mockingbird,1962,2.15,U,"Crime, Drama",8.3,335543
Jodaeiye Nader Az Simin,2011,2.05,7,Drama,8.3,260932
The Sting,1973,2.15,U,"Comedy, Crime, Drama",8.3,282219
Die Hard,1988,2.2,A,"Action, Thriller",8.2,954948
Indiana Jones and the Last Crusade,1989,2.12,U,"Action, Adventure",8.2,817923
Taare Zameen Par,2007,2.7,U,"Drama, Family",8.3,209288
Metropolis,1927,2.55,Not Rated,"Drama, Sci-Fi",8.3,187375
Snatch,2000,1.73,UA,"Comedy, Crime",8.2,919391
1917,2019,1.98,R,"Action, Drama, History",8.2,690182
L.A. Confidential,1997,2.3,A,"Crime, Drama, Mystery",8.2,623430
Ladri Di Biciclette,1948,1.48,U,Drama,8.3,177104
Hamilton,2020,2.67,12+,"Biography, Drama, History",8.3,116614
Taxi Driver,1976,1.9,A,"Crime, Drama",8.2,934435
Der Untergang,2004,2.6,UA,"Biography, Drama, History",8.2,378238
Dangal,2016,2.68,U,"Action, Biography, Drama",8.3,214653
Batman Begins,2005,2.33,UA,"Action, Crime, Drama",8.2,1596065
Per qualche dollaro in più,1965,2.2,U,"Drama, Western",8.2,278023
The Wolf of Wall Street,2013,3.0,A,"Biography, Comedy, Crime",8.2,1609223
Green Book,2018,2.17,UA,"Biography, Comedy, Drama",8.2,587339
Some Like It Hot,1959,2.02,U,"Comedy, Music, Romance",8.2,286123
The Kid,1921,1.13,Passed,"Comedy, Drama, Family",8.2,136312
The Father,2020,1.62,UA,"Drama, Mystery",8.2,198172
Judgment at Nuremberg,1961,2.98,A,"Drama, War",8.3,86662
The Truman Show,1998,1.72,U,"Comedy, Drama",8.2,1217300
All About Eve,1950,2.3,Approved,Drama,8.2,140060
Shutter Island,2010,2.3,A,"Drama, Mystery, Thriller",8.2,1480378
There Will Be Blood,2007,2.63,A,Drama,8.2,648157
Top Gun: Maverick,2022,2.17,UA,"Action, Drama",8.2,722253
Casino,1995,2.97,A,"Crime, Drama",8.2,570871
